Vreme : 9/3/2023 6:18:53 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:18:54 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:18:56 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:18:57 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:18:58 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:18:59 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:19:00 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:19:00 PM , Vrednost : 10 , Limit : 8 , Tip alarma : HIGH , Prioritet : 2 , Ime taga : REZERVOAR1
Vreme : 9/3/2023 6:19:01 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:19:01 PM , Vrednost : 9.98629534754574 , Limit : 8 , Tip alarma : HIGH , Prioritet : 2 , Ime taga : REZERVOAR1
Vreme : 9/3/2023 6:19:02 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:19:02 PM , Vrednost : 9.94521895368273 , Limit : 8 , Tip alarma : HIGH , Prioritet : 2 , Ime taga : REZERVOAR1
Vreme : 9/3/2023 6:19:03 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:19:03 PM , Vrednost : 9.87688340595138 , Limit : 8 , Tip alarma : HIGH , Prioritet : 2 , Ime taga : REZERVOAR1
Vreme : 9/3/2023 6:19:04 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
Vreme : 9/3/2023 6:19:04 PM , Vrednost : 9.78147600733806 , Limit : 8 , Tip alarma : HIGH , Prioritet : 2 , Ime taga : REZERVOAR1
Vreme : 9/3/2023 6:19:05 PM , Vrednost : 0 , Limit : 0 , Tip alarma : LOW , Prioritet : 1 , Ime taga : VENTIL1
